provider,model,task_name,prompt_style,runs,compiled_runs,model_timeout_runs,model_quota_exhausted_runs,model_rate_limited_runs,avg_iterations_used,avg_model_latency_s,avg_compile_latency_s
OpenAI,gpt-5.4,task1_warmup_led_serial,simple,1,0,0,1,0,1.0,0.0,0.0
OpenAI,gpt-5.4,task1_warmup_led_serial,structured,1,0,0,1,0,1.0,0.0,0.0
OpenAI,gpt-5.4,task2_environment_dht11_hcsr04,simple,1,0,0,1,0,1.0,0.0,0.0
OpenAI,gpt-5.4,task2_environment_dht11_hcsr04,structured,1,0,0,1,0,1.0,0.0,0.0
OpenAI,gpt-5.4,task3_adxl345_i2c,simple,1,0,0,1,0,1.0,0.0,0.0
OpenAI,gpt-5.4,task3_adxl345_i2c,structured,1,0,0,1,0,1.0,0.0,0.0
OpenAI,gpt-5.4,task4_passive_buzzer_440hz,simple,1,0,0,1,0,1.0,0.0,0.0
OpenAI,gpt-5.4,task4_passive_buzzer_440hz,structured,1,0,0,1,0,1.0,0.0,0.0
OpenAI,gpt-5.4,task5_ds3231_sleep_wakeup,simple,1,0,0,1,0,1.0,0.0,0.0
OpenAI,gpt-5.4,task5_ds3231_sleep_wakeup,structured,1,0,0,1,0,1.0,0.0,0.0
Google,gemini-2.5-flash,task1_warmup_led_serial,simple,1,0,0,0,0,1.0,0.0,0.0
Google,gemini-2.5-flash,task1_warmup_led_serial,structured,1,0,0,0,0,1.0,0.0,0.0
Google,gemini-2.5-flash,task2_environment_dht11_hcsr04,simple,1,0,0,0,0,1.0,0.0,0.0
Google,gemini-2.5-flash,task2_environment_dht11_hcsr04,structured,1,0,0,0,0,1.0,0.0,0.0
Google,gemini-2.5-flash,task3_adxl345_i2c,simple,1,0,0,0,0,1.0,0.0,0.0
Google,gemini-2.5-flash,task3_adxl345_i2c,structured,1,0,0,0,0,1.0,0.0,0.0
Google,gemini-2.5-flash,task4_passive_buzzer_440hz,simple,1,0,0,0,0,1.0,0.0,0.0
Google,gemini-2.5-flash,task4_passive_buzzer_440hz,structured,1,0,0,0,0,1.0,0.0,0.0
Google,gemini-2.5-flash,task5_ds3231_sleep_wakeup,simple,1,0,0,0,0,1.0,0.0,0.0
Google,gemini-2.5-flash,task5_ds3231_sleep_wakeup,structured,1,0,0,0,0,1.0,0.0,0.0
